,Компания,Категория,Название товара,Цена,Скидочная Цена,Объем,Единицы Измерения
430,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Азот Марка 5.5 (99,9995%)",2800.0,2688.0,10.0,литр
439,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Азот Марка 6.0 (99.9999%),3744.0,3482.0,5.0,литр
440,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Азот Марка 6.0 (99.9999%),3744.0,3557.0,10.0,литр
441,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Азот Марка 6.0 (99.9999%),3500.0,3220.0,20.0,литр
442,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Азот Марка 6.0 (99.9999%),3500.0,3325.0,40.0,литр
443,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Азот Марка 6.0 (99.9999%),3500.0,3255.0,50.0,литр
444,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Азот Марка 6.0 (99.9999%),3500.0,3255.0,5.0,литр
445,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Азот Марка 6.0 (99.9999%),3500.0,3150.0,10.0,литр
454,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Азот поверочный нулевой,3744.0,3370.0,10.0,литр
455,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Азот поверочный нулевой,1900.0,1805.0,20.0,литр
456,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Азот поверочный нулевой,1900.0,1729.0,40.0,литр
457,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Азот поверочный нулевой,1900.0,1729.0,50.0,литр
458,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Азот поверочный нулевой,1900.0,1786.0,10.0,литр
466,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аммиак безводный сжиженный марки А (99.9%),8700.0,7917.0,40.0,литр
467,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аммиак безводный сжиженный марки А (99.9%),33500.0,32160.0,40.0,литр
468,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон в/ч высокой чистоты,1900.0,1843.0,5.0,литр
469,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон в/ч высокой чистоты,1900.0,1767.0,10.0,литр
470,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон в/ч высокой чистоты,1900.0,1710.0,20.0,литр
471,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон в/ч высокой чистоты,1900.0,1729.0,40.0,литр
472,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон в/ч высокой чистоты,1900.0,1843.0,50.0,литр
473,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон в/ч высокой чистоты,6450.0,6128.0,5.0,литр
474,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон в/ч высокой чистоты,7550.0,7172.0,10.0,литр
475,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон в/ч высокой чистоты,12300.0,11316.0,20.0,литр
476,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон в/ч высокой чистоты,17400.0,16356.0,40.0,литр
477,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон в/ч высокой чистоты,2500.0,2275.0,50.0,литр
478,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон в/ч высокой чистоты,2500.0,2275.0,5.0,литр
479,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон в/ч высокой чистоты,2500.0,2400.0,10.0,литр
480,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон в/ч высокой чистоты,2500.0,2275.0,20.0,литр
481,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон в/ч высокой чистоты,2500.0,2275.0,40.0,литр
483,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Аргон Марка 5.5 (99,9995%)",8944.0,8407.0,5.0,литр
484,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Аргон Марка 5.5 (99,9995%)",8944.0,8676.0,10.0,литр
485,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Аргон Марка 5.5 (99,9995%)",3200.0,3072.0,20.0,литр
486,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Аргон Марка 5.5 (99,9995%)",3200.0,2976.0,40.0,литр
487,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Аргон Марка 5.5 (99,9995%)",3200.0,2944.0,50.0,литр
488,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Аргон Марка 5.5 (99,9995%)",3200.0,3040.0,5.0,литр
489,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Аргон Марка 5.5 (99,9995%)",3200.0,3104.0,10.0,литр
498,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Аргон Марка 6.0 (99,9999%)",11167.0,10162.0,5.0,литр
499,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Аргон Марка 6.0 (99,9999%)",11167.0,10497.0,10.0,литр
500,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Аргон Марка 6.0 (99,9999%)",4200.0,3906.0,20.0,литр
501,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Аргон Марка 6.0 (99,9999%)",4200.0,3780.0,40.0,литр
502,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Аргон Марка 6.0 (99,9999%)",4200.0,3906.0,50.0,литр
503,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Аргон Марка 6.0 (99,9999%)",4200.0,3990.0,5.0,литр
504,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Аргон Марка 6.0 (99,9999%)",4200.0,3990.0,10.0,литр
513,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон Марка 6.5,5800.0,5568.0,5.0,литр
514,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон Марка 6.5,5800.0,5626.0,10.0,литр
515,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон Марка 6.5,5800.0,5278.0,20.0,литр
516,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон Марка 6.5,5800.0,5394.0,40.0,литр
517,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон Марка 6.5,5800.0,5394.0,50.0,литр
518,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон Марка 7.0,7500.0,6825.0,5.0,литр
519,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон Марка 7.0,7500.0,6750.0,10.0,литр
520,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон Марка 7.0,7500.0,6750.0,20.0,литр
521,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон Марка 7.0,7500.0,7275.0,40.0,литр
522,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Аргон Марка 7.0,7500.0,6825.0,50.0,литр
523,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Ацетилен Марка Б сорт первый (99.1%) 40л,4500.0,4095.0,40.0,литр
524,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Ацетилен Марка Б сорт первый (99.1%) 40л,39700.0,38112.0,40.0,литр
525,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Ацетилен Марка Б сорт первый (99.1%) 40л,18000.0,16920.0,40.0,литр
526,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Ацетилен Марка А (99.5%),21567.0,19842.0,10.0,литр
527,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Ацетилен Марка А (99.5%),28600.0,26026.0,40.0,литр
528,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Ацетилен Марка А (99.5%),32117.0,31153.0,10.0,литр
529,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Ацетилен Марка А (99.5%),63800.0,59972.0,40.0,литр
530,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Ацетилен Марка А (99.5%),1800.0,1620.0,10.0,литр
531,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Ацетилен Марка А (99.5%),42100.0,39995.0,40.0,литр
532,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Водород в/ч,9490.0,8731.0,5.0,литр
533,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Водород в/ч,9490.0,9205.0,10.0,литр
534,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Водород в/ч,9490.0,8636.0,40.0,литр
535,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Водород в/ч,15140.0,14534.0,5.0,литр
536,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Водород в/ч,16240.0,15103.0,10.0,литр
537,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Водород в/ч,31090.0,27981.0,40.0,литр
538,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Водород в/ч,2200.0,1980.0,5.0,литр
539,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Водород в/ч,2200.0,2046.0,10.0,литр
540,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Водород в/ч,24990.0,23740.0,40.0,литр
541,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Водород ОСЧ,9490.0,9205.0,5.0,литр
542,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Водород ОСЧ,9490.0,9110.0,10.0,литр
543,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Водород ОСЧ,9490.0,8636.0,40.0,литр
544,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Водород ОСЧ,15140.0,14232.0,5.0,литр
545,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Водород ОСЧ,16240.0,14941.0,10.0,литр
546,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Водород ОСЧ,31090.0,29225.0,40.0,литр
547,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Водород ОСЧ,2800.0,2520.0,5.0,литр
548,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Водород ОСЧ,2800.0,2548.0,10.0,литр
549,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Водород ОСЧ,24990.0,23491.0,40.0,литр
550,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 5.0 (99,999%)",9750.0,9458.0,5.0,литр
551,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 5.0 (99,999%)",9750.0,9165.0,10.0,литр
552,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 5.0 (99,999%)",17420.0,16201.0,40.0,литр
553,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 5.0 (99,999%)",15400.0,14168.0,5.0,литр
554,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 5.0 (99,999%)",16500.0,16005.0,10.0,литр
555,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 5.0 (99,999%)",39020.0,35898.0,40.0,литр
556,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 5.0 (99,999%)",3500.0,3185.0,5.0,литр
557,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 5.0 (99,999%)",3500.0,3220.0,10.0,литр
558,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 5.0 (99,999%)",32920.0,31274.0,40.0,литр
559,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 6.0 (99,9999%)",18460.0,17722.0,5.0,литр
560,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 6.0 (99,9999%)",18460.0,17352.0,10.0,литр
561,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 6.0 (99,9999%)",27820.0,26151.0,40.0,литр
562,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 6.0 (99,9999%)",24110.0,21940.0,5.0,литр
563,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 6.0 (99,9999%)",25210.0,23697.0,10.0,литр
564,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 6.0 (99,9999%)",49420.0,44972.0,40.0,литр
565,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 6.0 (99,9999%)",4800.0,4320.0,5.0,литр
566,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 6.0 (99,9999%)",4800.0,4608.0,10.0,литр
567,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 6.0 (99,9999%)",43320.0,38988.0,40.0,литр
568,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 7.0 (99,99999%)",20930.0,20302.0,5.0,литр
569,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 7.0 (99,99999%)",20930.0,19884.0,10.0,литр
570,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 7.0 (99,99999%)",32370.0,29780.0,40.0,литр
571,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 7.0 (99,99999%)",6500.0,6110.0,50.0,литр
572,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 7.0 (99,99999%)",6500.0,6175.0,5.0,литр
573,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 7.0 (99,99999%)",6500.0,6175.0,10.0,литр
574,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Водород Марка 7.0 (99,99999%)",6500.0,6305.0,40.0,литр
580,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Воздух поверочный нулевой (ПНГ) марка А (синтетический, храмотографический)",4407.0,4143.0,5.0,литр
581,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Воздух поверочный нулевой (ПНГ) марка А (синтетический, храмотографический)",4407.0,4187.0,10.0,литр
582,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Воздух поверочный нулевой (ПНГ) марка А (синтетический, храмотографический)",9126.0,8487.0,40.0,литр
583,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Воздух поверочный нулевой (ПНГ) марка А (синтетический, храмотографический)",11284.0,10945.0,50.0,литр
584,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Воздух поверочный нулевой (ПНГ) марка А (синтетический, храмотографический)",8957.0,8688.0,5.0,литр
585,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Воздух поверочный нулевой (ПНГ) марка А (синтетический, храмотографический)",10057.0,9655.0,10.0,литр
586,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Воздух поверочный нулевой (ПНГ) марка А (синтетический, храмотографический)",28226.0,27379.0,40.0,литр
587,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Воздух поверочный нулевой (ПНГ) марка А (синтетический, храмотографический)",1900.0,1843.0,50.0,литр
588,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Воздух сжатый, кл. 0, ГОСТ 17433-80",2410.0,2314.0,5.0,литр
589,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Воздух сжатый, кл. 0, ГОСТ 17433-80",2410.0,2290.0,10.0,литр
590,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Воздух сжатый, кл. 0, ГОСТ 17433-80",3160.0,2970.0,40.0,литр
591,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Воздух сжатый, кл. 0, ГОСТ 17433-80",3618.0,3473.0,50.0,литр
592,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Воздух сжатый, кл. 0, ГОСТ 17433-80",6960.0,6542.0,5.0,литр
593,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Воздух сжатый, кл. 0, ГОСТ 17433-80",8060.0,7335.0,10.0,литр
594,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Воздух сжатый, кл. 0, ГОСТ 17433-80",22260.0,20257.0,40.0,литр
595,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Воздух сжатый, кл. 0, ГОСТ 17433-80",1200.0,1116.0,50.0,литр
596,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Воздух сжатый синтетический,3550.0,3337.0,5.0,литр
597,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Воздух сжатый синтетический,3550.0,3337.0,10.0,литр
598,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Воздух сжатый синтетический,6630.0,6232.0,40.0,литр
599,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Воздух сжатый синтетический,8288.0,7542.0,50.0,литр
600,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Воздух сжатый синтетический,8100.0,7371.0,5.0,литр
601,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Воздух сжатый синтетический,9200.0,8740.0,10.0,литр
602,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Воздух сжатый синтетический,25730.0,23157.0,40.0,литр
603,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,Воздух сжатый синтетический,1500.0,1425.0,50.0,литр
604,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка Б 4.0 (99,99%)",9000.0,8460.0,5.0,литр
605,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка Б 4.0 (99,99%)",9000.0,8370.0,10.0,литр
606,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка Б 4.0 (99,99%)",15000.0,14250.0,40.0,литр
607,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка Б 4.0 (99,99%)",47300.0,45881.0,50.0,литр
608,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка Б 4.0 (99,99%)",15800.0,14852.0,5.0,литр
609,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка Б 4.0 (99,99%)",16700.0,15698.0,10.0,литр
610,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка Б 4.0 (99,99%)",35300.0,33535.0,40.0,литр
611,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка Б 4.0 (99,99%)",4500.0,4050.0,50.0,литр
612,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка Б 4.0 (99,99%)",4500.0,4365.0,5.0,литр
613,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка Б 4.0 (99,99%)",4500.0,4320.0,10.0,литр
614,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка Б 4.0 (99,99%)",4500.0,4185.0,40.0,литр
616,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка А 4,5 (99,995%)",19200.0,18240.0,10.0,литр
617,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка А 4,5 (99,995%)",20000.0,18600.0,40.0,литр
618,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка А 4,5 (99,995%)",39900.0,38703.0,50.0,литр
619,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка А 4,5 (99,995%)",26900.0,26093.0,10.0,литр
620,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка А 4,5 (99,995%)",40300.0,39091.0,40.0,литр
621,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка А 4,5 (99,995%)",5800.0,5394.0,50.0,литр
622,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка А 4,5 (99,995%)",5800.0,5220.0,10.0,литр
623,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка А 4,5 (99,995%)",5800.0,5336.0,40.0,литр
625,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 5,5 (99,9995%)",11500.0,11155.0,5.0,литр
626,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 5,5 (99,9995%)",19200.0,17472.0,10.0,литр
627,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 5,5 (99,9995%)",25500.0,22950.0,40.0,литр
628,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 5,5 (99,9995%)",42300.0,38916.0,50.0,литр
629,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 5,5 (99,9995%)",18300.0,16470.0,5.0,литр
630,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 5,5 (99,9995%)",26900.0,25824.0,10.0,литр
631,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 5,5 (99,9995%)",45800.0,43510.0,40.0,литр
632,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 5,5 (99,9995%)",7200.0,6984.0,50.0,литр
633,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 5,5 (99,9995%)",7200.0,6840.0,5.0,литр
634,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 5,5 (99,9995%)",7200.0,6696.0,10.0,литр
635,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 5,5 (99,9995%)",7200.0,6840.0,40.0,литр
637,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 6,0 (99,9999%)",12500.0,11250.0,5.0,литр
638,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 6,0 (99,9999%)",19200.0,17280.0,10.0,литр
639,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 6,0 (99,9999%)",26000.0,23400.0,40.0,литр
640,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 6,0 (99,9999%)",48000.0,43680.0,50.0,литр
641,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 6,0 (99,9999%)",19300.0,18528.0,5.0,литр
642,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 6,0 (99,9999%)",26900.0,25286.0,10.0,литр
643,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 6,0 (99,9999%)",46300.0,43059.0,40.0,литр
644,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 6,0 (99,9999%)",8900.0,8099.0,50.0,литр
645,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 6,0 (99,9999%)",8900.0,8277.0,5.0,литр
646,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 6,0 (99,9999%)",8900.0,8544.0,10.0,литр
647,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 6,0 (99,9999%)",8900.0,8277.0,40.0,литр
649,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 7.0 (99,99999%)",15000.0,14100.0,5.0,литр
650,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 7.0 (99,99999%)",15000.0,14400.0,10.0,литр
651,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 7.0 (99,99999%)",35000.0,31500.0,40.0,литр
652,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 7.0 (99,99999%)",38000.0,35720.0,50.0,литр
653,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 7.0 (99,99999%)",21800.0,21146.0,5.0,литр
654,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 7.0 (99,99999%)",22700.0,21792.0,10.0,литр
655,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 7.0 (99,99999%)",55300.0,50323.0,40.0,литр
656,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 7.0 (99,99999%)",11500.0,10580.0,50.0,литр
657,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 7.0 (99,99999%)",11500.0,10350.0,5.0,литр
658,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 7.0 (99,99999%)",11500.0,10695.0,10.0,литр
659,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Гелий Марка 7.0 (99,99999%)",11500.0,10925.0,40.0,литр
661,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Кислород технический (99,7%)",400.0,388.0,5.0,литр
662,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Кислород технический (99,7%)",400.0,372.0,10.0,литр
663,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Кислород технический (99,7%)",800.0,768.0,40.0,литр
664,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Кислород технический (99,7%)",800.0,752.0,50.0,литр
665,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Кислород технический (99,7%)",6900.0,6417.0,5.0,литр
666,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Кислород технический (99,7%)",9400.0,8930.0,10.0,литр
667,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Кислород технический (99,7%)",16300.0,14996.0,40.0,литр
668,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Кислород технический (99,7%)",1600.0,1488.0,50.0,литр
669,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Кислород технический (99,7%)",1600.0,1552.0,5.0,литр
670,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Кислород технический (99,7%)",1600.0,1488.0,10.0,литр
671,АО_АПК_БЕЛИФФ_ГАЗ,Газы и газовые смеси,"Кислород технический (99,7%)",1600.0,1536.0,40.0,литр
